product;description;price
Pc Gamer - Ryzen 7;Ryzen 7, 16gb Ram, RTX3070;R$5500
Monitor Sansung Odyssey;27 polegads, Full HD, HDMI;R$5500
Headset JBL Quantum 810;Microfone integrado, Over-ear;R$5500
Mouse LogiTech G502;Cabo 2,10m, 100 - 25.600 dpi;R$5500
Teclado Razer Huntsman;Função anti-ghosting, USB-C;R$5500
Mousepad Husk;Base antiderrapante, 400 x 300;R$5500
Notebook Gamer Acer;Intel Core i5, Tela de 15,6”;R$5500
Cadeira Gamer - Alpha;Reclinável, Encosto lombar;R$5500
Streamdeck - Elgato;15 teclas LCD, USB-C;R$5500
Microfone - HyperX;Base antivibração, Pop filter;R$5500
Pc Gamer - Intel I9;Intel I9, 16gb Ram, GTX 3090;R$5500
Monitor AOC B320;27 polegads, Full HD, HDMI;R$5500
Headset JBL Quantum 610;Microfone integrado, Over-ear;R$5500
Mouse Redragon - Storm;Cabo 2,10m, 100 - 25.600 dpi;R$5500
Teclado RedDragon DYAUS;Função anti-ghosting, USB-C;R$5500
Mousepad Havit;Base antiderrapante, 900 x 300;R$5500
Notebook AlienWare;"Intel i5, Tela de 16""";R$5500
Cadeira Gamer - Alpha;Reclinável, Encosto lombar;R$5500
Streamdeck - Elgato;6 teclas LCD, USB-C;R$5500
Microfone - HyperX;Base antivibração, Pop filter;R$5500
